"Date","Time","Quantity","Units","Service","Meter","Account"
11/5/2019,11:59 PM,18.8119999999981,"kWh","Electricity","578386","8771398385"
11/6/2019,11:59 PM,21.1419999999998,"kWh","Electricity","578386","8771398385"
11/7/2019,11:59 PM,26.9639999999999,"kWh","Electricity","578386","8771398385"
11/8/2019,11:59 PM,25.2930000000015,"kWh","Electricity","578386","8771398385"
11/9/2019,11:59 PM,19.9269999999997,"kWh","Electricity","578386","8771398385"
11/10/2019,11:59 PM,23.6759999999995,"kWh","Electricity","578386","8771398385"
11/11/2019,11:59 PM,20.255000000001,"kWh","Electricity","578386","8771398385"
11/12/2019,11:59 PM,33.3969999999972,"kWh","Electricity","578386","8771398385"
11/13/2019,11:59 PM,19.5280000000021,"kWh","Electricity","578386","8771398385"
11/14/2019,11:59 PM,23.8919999999998,"kWh","Electricity","578386","8771398385"
11/15/2019,11:59 PM,27.869999999999,"kWh","Electricity","578386","8771398385"
11/16/2019,11:59 PM,20.6680000000015,"kWh","Electricity","578386","8771398385"
11/17/2019,11:59 PM,27.518,"kWh","Electricity","578386","8771398385"
11/18/2019,11:59 PM,21.2880000000005,"kWh","Electricity","578386","8771398385"
11/19/2019,11:59 PM,21.2409999999982,"kWh","Electricity","578386","8771398385"
11/20/2019,11:59 PM,20.3580000000002,"kWh","Electricity","578386","8771398385"
11/21/2019,11:59 PM,32.4799999999996,"kWh","Electricity","578386","8771398385"
11/22/2019,11:59 PM,31.4400000000023,"kWh","Electricity","578386","8771398385"
11/23/2019,11:59 PM,25.2429999999986,"kWh","Electricity","578386","8771398385"
11/24/2019,11:59 PM,26.9189999999981,"kWh","Electricity","578386","8771398385"
11/25/2019,11:59 PM,18.9750000000022,"kWh","Electricity","578386","8771398385"
11/26/2019,11:59 PM,18.3650000000016,"kWh","Electricity","578386","8771398385"
11/27/2019,11:59 PM,28.4129999999968,"kWh","Electricity","578386","8771398385"
11/28/2019,11:59 PM,18.1840000000011,"kWh","Electricity","578386","8771398385"
11/29/2019,11:59 PM,14.6209999999992,"kWh","Electricity","578386","8771398385"
11/30/2019,11:59 PM,31.3500000000022,"kWh","Electricity","578386","8771398385"
12/1/2019,11:59 PM,24.5769999999975,"kWh","Electricity","578386","8771398385"
12/2/2019,11:59 PM,23.8820000000014,"kWh","Electricity","578386","8771398385"
12/3/2019,11:59 PM,18.4860000000008,"kWh","Electricity","578386","8771398385"
12/4/2019,11:59 PM,20.0419999999976,"kWh","Electricity","578386","8771398385"
12/5/2019,11:59 PM,24.0780000000013,"kWh","Electricity","578386","8771398385"
12/6/2019,11:59 PM,28.8830000000016,"kWh","Electricity","578386","8771398385"
12/7/2019,11:59 PM,27.0979999999981,"kWh","Electricity","578386","8771398385"
12/8/2019,11:59 PM,24.0240000000013,"kWh","Electricity","578386","8771398385"
12/9/2019,11:59 PM,25.4569999999985,"kWh","Electricity","578386","8771398385"
12/10/2019,11:59 PM,28.1399999999994,"kWh","Electricity","578386","8771398385"
12/11/2019,11:59 PM,27.2139999999999,"kWh","Electricity","578386","8771398385"
12/12/2019,11:59 PM,31.6949999999997,"kWh","Electricity","578386","8771398385"
12/13/2019,11:59 PM,23.2980000000025,"kWh","Electricity","578386","8771398385"
12/14/2019,11:59 PM,34.1139999999978,"kWh","Electricity","578386","8771398385"
12/15/2019,11:59 PM,52.5200000000004,"kWh","Electricity","578386","8771398385"
12/16/2019,11:59 PM,41.6380000000026,"kWh","Electricity","578386","8771398385"
12/17/2019,11:59 PM,30.9589999999989,"kWh","Electricity","578386","8771398385"
12/18/2019,11:59 PM,25.7109999999993,"kWh","Electricity","578386","8771398385"
12/19/2019,11:59 PM,17.3509999999987,"kWh","Electricity","578386","8771398385"
12/20/2019,11:59 PM,22.3290000000015,"kWh","Electricity","578386","8771398385"
12/21/2019,11:59 PM,13.4579999999987,"kWh","Electricity","578386","8771398385"
12/22/2019,11:59 PM,14.956000000002,"kWh","Electricity","578386","8771398385"
12/23/2019,11:59 PM,9.60599999999977,"kWh","Electricity","578386","8771398385"
12/24/2019,11:59 PM,13.2749999999978,"kWh","Electricity","578386","8771398385"
12/25/2019,11:59 PM,9.67700000000332,"kWh","Electricity","578386","8771398385"
12/26/2019,11:59 PM,13.1619999999966,"kWh","Electricity","578386","8771398385"
12/27/2019,11:59 PM,22.737000000001,"kWh","Electricity","578386","8771398385"
12/28/2019,11:59 PM,26.1929999999993,"kWh","Electricity","578386","8771398385"
12/29/2019,11:59 PM,20.9600000000028,"kWh","Electricity","578386","8771398385"
12/30/2019,11:59 PM,22.0109999999986,"kWh","Electricity","578386","8771398385"
12/31/2019,10:15 PM,18.1959999999999,"kWh","Electricity","578386","8771398385"
1/1/2020,11:59 PM,13.226999999999,"kWh","Electricity","578386","8771398385"
1/2/2020,11:59 PM,11.9470000000001,"kWh","Electricity","578386","8771398385"
1/3/2020,11:59 PM,12.9439999999995,"kWh","Electricity","578386","8771398385"
1/4/2020,11:59 PM,10.3230000000003,"kWh","Electricity","578386","8771398385"
1/5/2020,11:59 PM,14.5110000000022,"kWh","Electricity","578386","8771398385"
1/6/2020,11:59 PM,12.4290000000001,"kWh","Electricity","578386","8771398385"
1/7/2020,11:59 PM,9.85099999999875,"kWh","Electricity","578386","8771398385"
1/8/2020,11:59 PM,8.36599999999817,"kWh","Electricity","578386","8771398385"
1/9/2020,11:59 PM,15.1430000000037,"kWh","Electricity","578386","8771398385"
1/10/2020,11:59 PM,17.132999999998,"kWh","Electricity","578386","8771398385"
1/11/2020,11:59 PM,27.0220000000008,"kWh","Electricity","578386","8771398385"
1/12/2020,11:59 PM,17.1499999999978,"kWh","Electricity","578386","8771398385"
1/13/2020,11:59 PM,24.0500000000029,"kWh","Electricity","578386","8771398385"
1/14/2020,11:59 PM,14.7069999999985,"kWh","Electricity","578386","8771398385"
1/15/2020,11:59 PM,19.4369999999981,"kWh","Electricity","578386","8771398385"
1/16/2020,11:59 PM,29.2200000000012,"kWh","Electricity","578386","8771398385"
1/17/2020,11:59 PM,25.8349999999991,"kWh","Electricity","578386","8771398385"
1/18/2020,11:59 PM,31.8940000000002,"kWh","Electricity","578386","8771398385"
1/19/2020,11:59 PM,27.5730000000003,"kWh","Electricity","578386","8771398385"
1/20/2020,11:59 PM,32.7220000000016,"kWh","Electricity","578386","8771398385"
1/21/2020,11:59 PM,27.2419999999984,"kWh","Electricity","578386","8771398385"
1/22/2020,11:59 PM,22.206000000002,"kWh","Electricity","578386","8771398385"
1/23/2020,11:59 PM,33.5449999999983,"kWh","Electricity","578386","8771398385"
1/24/2020,11:59 PM,28.4330000000009,"kWh","Electricity","578386","8771398385"
1/25/2020,11:59 PM,28.1260000000002,"kWh","Electricity","578386","8771398385"
1/26/2020,11:59 PM,26.6140000000014,"kWh","Electricity","578386","8771398385"
1/27/2020,11:59 PM,30.2989999999991,"kWh","Electricity","578386","8771398385"
1/28/2020,11:59 PM,21.4840000000004,"kWh","Electricity","578386","8771398385"
1/29/2020,11:59 PM,31.7059999999983,"kWh","Electricity","578386","8771398385"
1/30/2020,11:59 PM,34.3369999999995,"kWh","Electricity","578386","8771398385"
1/31/2020,11:59 PM,39.487000000001,"kWh","Electricity","578386","8771398385"
2/1/2020,11:59 PM,24.5590000000011,"kWh","Electricity","578386","8771398385"
2/2/2020,11:59 PM,23.6100000000006,"kWh","Electricity","578386","8771398385"
2/3/2020,11:59 PM,32.8249999999971,"kWh","Electricity","578386","8771398385"
2/4/2020,11:59 PM,45.3240000000005,"kWh","Electricity","578386","8771398385"
2/5/2020,11:59 PM,46.9960000000028,"kWh","Electricity","578386","8771398385"
2/6/2020,11:59 PM,36.4069999999992,"kWh","Electricity","578386","8771398385"
2/7/2020,11:59 PM,37.8479999999981,"kWh","Electricity","578386","8771398385"
2/8/2020,11:59 PM,30.8179999999993,"kWh","Electricity","578386","8771398385"
2/9/2020,11:59 PM,33.4910000000018,"kWh","Electricity","578386","8771398385"
2/10/2020,11:59 PM,27.5730000000003,"kWh","Electricity","578386","8771398385"
2/11/2020,11:59 PM,40.0979999999981,"kWh","Electricity","578386","8771398385"
2/12/2020,11:59 PM,32.2400000000016,"kWh","Electricity","578386","8771398385"
2/13/2020,11:59 PM,42.5859999999993,"kWh","Electricity","578386","8771398385"
2/14/2020,11:59 PM,35.9209999999985,"kWh","Electricity","578386","8771398385"
2/15/2020,11:59 PM,28.2870000000003,"kWh","Electricity","578386","8771398385"
2/16/2020,11:59 PM,33.3040000000001,"kWh","Electricity","578386","8771398385"
2/17/2020,11:59 PM,27.2160000000003,"kWh","Electricity","578386","8771398385"
2/18/2020,11:59 PM,46.8450000000012,"kWh","Electricity","578386","8771398385"
2/19/2020,11:59 PM,35.7050000000017,"kWh","Electricity","578386","8771398385"
2/20/2020,11:59 PM,36.8109999999979,"kWh","Electricity","578386","8771398385"
2/21/2020,11:59 PM,38.857,"kWh","Electricity","578386","8771398385"
2/22/2020,11:59 PM,21.8349999999991,"kWh","Electricity","578386","8771398385"
2/23/2020,11:59 PM,32.6200000000026,"kWh","Electricity","578386","8771398385"
2/24/2020,11:59 PM,35.5449999999983,"kWh","Electricity","578386","8771398385"
2/25/2020,11:59 PM,36.405999999999,"kWh","Electricity","578386","8771398385"
